obsno,grid_code,x_wgs84,y_wgs84,ldi,loss_intensity,miombo_extent,MAT,MAP,soil,access,sciname,P1,P2,P3,P4,P5,ba_P1,ba_P2,ba_P3,ba_P4,ba_P5
683,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Brackenridgea zanguebarica,0,0,0,NA,NA,0,0,0,NA,NA
684,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
685,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
686,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
687,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Brackenridgea zanguebarica,0,0,0,NA,NA,0,0,0,NA,NA
688,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Brackenridgea zanguebarica,0,0,0,0,NA,0,0,0,0,NA
689,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
690,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Brackenridgea zanguebarica,0,0,0,0,NA,0,0,0,0,NA
691,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
692,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
693,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
694,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
695,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Brackenridgea zanguebarica,0,NA,NA,NA,NA,0,NA,NA,NA,NA
696,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
697,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
698,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
699,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Brackenridgea zanguebarica,0,NA,NA,NA,NA,0,NA,NA,NA,NA
700,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Brackenridgea zanguebarica,0,0,NA,NA,NA,0,0,NA,NA,NA
701,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Brackenridgea zanguebarica,0,0,0,0,0,0,0,0,0,0
702,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Brackenridgea zanguebarica,0,0,0,0,0,0,0,0,0,0
703,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Burkea africana,0,0,0,NA,NA,0,0,0,NA,NA
704,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Burkea africana,0,1,0,0,0,0,441.2,0,0,0
705,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
706,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
707,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Burkea africana,0,0,0,0,NA,0,0,0,0,NA
708,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
709,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Burkea africana,0,0,0,0,NA,0,0,0,0,NA
710,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Burkea africana,0,5,NA,NA,NA,0,2133.7,NA,NA,NA
711,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
712,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
713,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Burkea africana,0,NA,NA,NA,NA,0,NA,NA,NA,NA
714,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
715,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
716,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Burkea africana,0,0,0,NA,NA,0,0,0,NA,NA
717,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
718,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
719,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Burkea africana,1,1,NA,NA,NA,615.8,422.7,NA,NA,NA
720,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
721,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
722,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Burkea africana,2,0,0,NA,NA,179.6,0,0,NA,NA
723,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
724,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
725,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
726,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Burkea africana,0,0,0,NA,NA,0,0,0,NA,NA
727,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Burkea africana,0,0,0,0,NA,0,0,0,0,NA
728,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Burkea africana,0,1,NA,NA,NA,0,63.6,NA,NA,NA
729,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Burkea africana,0,0,0,0,NA,0,0,0,0,NA
730,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Burkea africana,0,1,NA,NA,NA,0,78.5,NA,NA,NA
731,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Burkea africana,0,2,NA,NA,NA,0,301.8,NA,NA,NA
732,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
733,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Burkea africana,0,1,NA,NA,NA,0,1734.9,NA,NA,NA
734,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Burkea africana,0,NA,NA,NA,NA,0,NA,NA,NA,NA
735,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
736,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Burkea africana,2,1,NA,NA,NA,1811.4,1164.2,NA,NA,NA
737,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
738,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Burkea africana,0,NA,NA,NA,NA,0,NA,NA,NA,NA
739,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Burkea africana,0,0,NA,NA,NA,0,0,NA,NA,NA
740,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Burkea africana,0,0,1,1,0,0,0,62.2,1188.5,0
741,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Burkea africana,0,3,0,0,0,0,582.3,0,0,0
742,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Cassia abbreviata,0,0,0,NA,NA,0,0,0,NA,NA
743,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Cassia abbreviata,0,0,0,0,0,0,0,0,0,0
744,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
745,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
746,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Cassia abbreviata,0,0,0,0,NA,0,0,0,0,NA
747,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
748,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Cassia abbreviata,1,0,0,0,NA,63.6,0,0,0,NA
749,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
750,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
751,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
752,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Cassia abbreviata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
753,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
754,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
755,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Cassia abbreviata,0,0,0,NA,NA,0,0,0,NA,NA
756,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Cassia abbreviata,2,0,NA,NA,NA,229.4,0,NA,NA,NA
757,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
758,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
759,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
760,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
761,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Cassia abbreviata,0,0,0,NA,NA,0,0,0,NA,NA
762,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
763,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
764,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
765,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Cassia abbreviata,0,0,0,NA,NA,0,0,0,NA,NA
766,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Cassia abbreviata,0,0,0,0,NA,0,0,0,0,NA
767,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
768,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Cassia abbreviata,0,0,0,0,NA,0,0,0,0,NA
769,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
770,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
771,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
772,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
773,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Cassia abbreviata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
774,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
775,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
776,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
777,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Cassia abbreviata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
778,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Cassia abbreviata,0,0,NA,NA,NA,0,0,NA,NA,NA
779,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Cassia abbreviata,0,0,0,0,0,0,0,0,0,0
780,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Cassia abbreviata,0,0,0,0,0,0,0,0,0,0
781,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Catunaregam obovata,0,0,0,NA,NA,0,0,0,NA,NA
782,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Catunaregam obovata,0,0,0,0,0,0,0,0,0,0
783,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
784,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
785,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Catunaregam obovata,0,0,0,0,NA,0,0,0,0,NA
786,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Catunaregam obovata,1,0,NA,NA,NA,19.6,0,NA,NA,NA
787,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Catunaregam obovata,0,0,0,0,NA,0,0,0,0,NA
788,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
789,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
790,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
791,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Catunaregam obovata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
792,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
793,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
794,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Catunaregam obovata,0,0,0,NA,NA,0,0,0,NA,NA
795,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
796,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
797,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
798,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
799,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
800,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Catunaregam obovata,0,0,0,NA,NA,0,0,0,NA,NA
801,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
802,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Catunaregam obovata,0,2,NA,NA,NA,0,88.8,NA,NA,NA
803,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
804,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Catunaregam obovata,0,0,0,NA,NA,0,0,0,NA,NA
805,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Catunaregam obovata,0,0,0,0,NA,0,0,0,0,NA
806,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
807,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Catunaregam obovata,0,0,0,0,NA,0,0,0,0,NA
808,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
809,G652,36.4886406,-15.28113986,0.848623405,0.972508591,0.320861678,22.82500076,1251,16,222,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
810,G653,36.50194501,-15.27099166,0.005886653,0.878221649,0.772675737,22.27083397,1274,15,173,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
811,G654,36.51720204,-15.27803581,0.001426533,0.805440568,0.771671388,22.37916756,1275,13,230,Catunaregam obovata,0,1,NA,NA,NA,0,59.4,NA,NA,NA
812,G673,36.777802,-15.272768,0.947413388,1.296296296,0.079410096,22.35833359,1304,8,61,Catunaregam obovata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
813,G752,36.66231854,-15.30296954,0.220821617,1.062418726,0.463677639,22.85833359,1310,19,279,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
814,G792,36.614264,-15.3146348,0.861825741,0.391682785,0.229722065,22.61249924,1322,19,276,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
815,G793,36.62458087,-15.31674025,0.953461649,0.245762712,0.06572238,22.57916641,1339,19,234,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
816,G795,36.655885,-15.315685,0.890880762,1.123076923,0.124220079,22.75416565,1330,17,268,Catunaregam obovata,0,NA,NA,NA,NA,0,NA,NA,NA,NA
817,G837,36.6587111,-15.28669187,0.692375974,0.849246231,0.3838728,22.97083282,1288,10,363,Catunaregam obovata,0,0,NA,NA,NA,0,0,NA,NA,NA
818,G929,36.69263576,-15.35696421,0.840708306,0.17196702,0.082860386,22.19583321,1425,4,57,Catunaregam obovata,0,0,0,0,0,0,0,0,0,0
819,G930,36.70670725,-15.36156427,0.200121047,0.855875831,0.437641723,22.24583244,1441,19,55,Catunaregam obovata,0,0,0,0,0,0,0,0,0,0
820,G1230,36.58589924,-15.44725788,0.860736,0.331536388,0.139376771,22.07500076,1505,19,355,Cissus integrifolia,0,0,0,NA,NA,0,0,0,NA,NA
821,G1274,36.59280583,-15.45695961,0.827758763,0.384698276,0.202495746,21.98333359,1520,15,413,Cissus integrifolia,0,0,0,0,0,0,0,0,0,0
822,G1313,36.581453,-15.47106233,0.610024565,0.584801762,0.301020408,21.67499924,1547,13,524,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
823,G271,36.63998769,-15.15339138,0.009698024,1.489968321,0.799886621,23.53333282,1118,19,114,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
824,G273,36.67294866,-15.15379115,0.725497752,0.978401728,0.513605442,23.10000038,1130,19,272,Cissus integrifolia,0,0,0,0,NA,0,0,0,0,NA
825,G314,36.63144981,-15.15817319,0.797280607,1.845360825,0.405665722,23.54583359,1119,19,144,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
826,G315,36.63899068,-15.16361477,0.342312945,1.707715134,0.652494331,23.51250076,1128,3,179,Cissus integrifolia,0,0,0,0,NA,0,0,0,0,NA
827,G319,36.6986108,-15.16437748,0.153555459,1.392807746,0.570861678,22.89999962,1149,1,379,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
828,G356,36.60008557,-15.17811285,0.419422246,0.955259976,0.44809983,23.43333244,1143,19,148,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
829,G358,36.62834331,-15.17749472,0.470660652,1.00862069,0.265306122,23.48333359,1149,19,201,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
830,G359,36.637962,-15.181983,0.521140487,1.134310134,0.527241771,23.49583244,1149,19,247,Cissus integrifolia,0,NA,NA,NA,NA,0,NA,NA,NA,NA
831,G360,36.65923537,-15.17812253,0.476660563,1.288808664,0.404761905,23.1875,1149,19,272,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
832,G363,36.69534982,-15.17706723,0.65283722,1.43793911,0.348269994,22.79166603,1153,13,402,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
833,G401,36.62722641,-15.18678393,0.883260784,0.600472813,0.14399093,23.45416641,1156,19,225,Cissus integrifolia,0,0,0,NA,NA,0,0,0,NA,NA
834,G403,36.64969755,-15.18629902,0.018920391,1.41125,0.640385706,23.42499924,1156,19,275,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
835,G497,36.75600562,-15.22170514,0.421837973,0.854392298,0.402722632,22.64583397,1209,17,104,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
836,G542,36.99340118,-15.06223571,0.603426499,1.370839937,0.49091941,22.96666718,1129,19,75,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
837,G543,36.78071643,-15.22924172,0.654953407,1.410071942,0.333522405,22.57916641,1230,19,36,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
838,G578,36.67520903,-15.24593095,0.694410246,1.475446429,0.374716553,23.10416603,1232,19,426,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
839,G585,36.76644484,-15.23758054,0.434415735,1.630372493,0.322562358,22.52916718,1243,19,79,Cissus integrifolia,0,0,0,NA,NA,0,0,0,NA,NA
840,G609,36.5035872,-15.2618073,0.143675184,0.716642755,0.566005666,22.79583359,1240,11,146,Cissus integrifolia,1,0,NA,NA,NA,41.9,0,NA,NA,NA
841,G611,36.53587517,-15.25632984,0.531026019,0.576982893,0.420634921,22.71249962,1240,6,211,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
842,G619,36.64330914,-15.26382129,0.68511489,0.74368932,0.217120181,23.0625,1253,19,429,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
843,G622,36.68182652,-15.25945629,0.741545265,1.740196078,0.201247166,23.09583282,1248,19,366,Cissus integrifolia,0,0,0,NA,NA,0,0,0,NA,NA
844,G623,36.70270155,-15.2632723,0.345054375,1.532956685,0.461712989,22.98333359,1254,19,265,Cissus integrifolia,0,0,0,0,NA,0,0,0,0,NA
845,G627,36.754718,-15.25277133,0.822311139,1.996721311,0.345629966,22.61249924,1266,19,88,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
846,G628,36.76663618,-15.25802465,0.836144375,0.58627451,0.169597277,22.49166679,1274,2,45,Cissus integrifolia,0,0,0,0,NA,0,0,0,0,NA
847,G651,36.48530303,-15.27015452,0.018804009,1.002645503,0.644192635,22.79999924,1242,19,176,Cissus integrifolia,0,0,NA,NA,NA,0,0,NA,NA,NA
